,State,1,0
0,0-0-0-0,-298,16
1,0-0-0-1,666,-1813
2,0-0-1-0,0,0
3,0-0-1-1,0,0
4,0-0-2-0,0,0
5,0-0-2-1,0,0
6,0-0-3-0,164,-82
7,0-0-3-1,376,-153
8,0-1-0-0,-403,-61511
9,0-1-0-1,31397,-37008
10,0-1-1-0,0,0
11,0-1-1-1,0,0
12,0-1-2-0,0,0
13,0-1-2-1,0,0
14,0-1-3-0,167,-54
15,0-1-3-1,203,-64
16,0-2-0-0,-8,-488
17,0-2-0-1,0,-333
18,0-2-1-0,0,0
19,0-2-1-1,0,0
20,0-2-2-0,0,0
21,0-2-2-1,0,0
22,0-2-3-0,0,0
23,0-2-3-1,0,0
24,1-0-0-0,-810,-53
25,1-0-0-1,13947,-6554
26,1-0-1-0,0,0
27,1-0-1-1,0,0
28,1-0-2-0,0,0
29,1-0-2-1,0,0
30,1-0-3-0,-14,36
31,1-0-3-1,0,0
32,1-1-0-0,-42,-5199
33,1-1-0-1,40304,-19514
34,1-1-1-0,0,0
35,1-1-1-1,0,0
36,1-1-2-0,0,0
37,1-1-2-1,0,0
38,1-1-3-0,53,-27
39,1-1-3-1,112,-50
40,1-2-0-0,-179,-96
41,1-2-0-1,3737,-9323
42,1-2-1-0,0,0
43,1-2-1-1,0,0
44,1-2-2-0,0,0
45,1-2-2-1,0,0
46,1-2-3-0,0,0
47,1-2-3-1,0,0
48,2-0-0-0,-7,18
49,2-0-0-1,0,0
50,2-0-1-0,0,0
51,2-0-1-1,0,0
52,2-0-2-0,0,0
53,2-0-2-1,0,0
54,2-0-3-0,-6,15
55,2-0-3-1,0,0
56,2-1-0-0,-56,85
57,2-1-0-1,0,0
58,2-1-1-0,0,0
59,2-1-1-1,0,0
60,2-1-2-0,0,0
61,2-1-2-1,0,0
62,2-1-3-0,0,0
63,2-1-3-1,0,0
64,2-2-0-0,-403,688
65,2-2-0-1,-206,311
66,2-2-1-0,0,0
67,2-2-1-1,0,0
68,2-2-2-0,0,0
69,2-2-2-1,0,0
70,2-2-3-0,0,0
71,2-2-3-1,0,0
